from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Budapest,BUD,Paris,BVA,1285,135,384.63
Budapest,BUD,Hamburg,HAM,950,105,264.27
Budapest,BUD,Sofia,SOF,620,85,241.23
Budapest,BUD,Luxembourg,LUX,993,125,279.69
Budapest,BUD,Cologne,CGN,963,110,275.98
Budapest,BUD,Dortmund,DTM,956,120,281.04
Budapest,BUD,Gothenburg,GOT,1231,130,305.67
Budapest,BUD,Nuremberg,NUE,646,90,242.41
Budapest,BUD,Palermo,PMO,1143,120,300.44
Budapest,BUD,Riga,RIX,1103,120,278.05
Budapest,BUD,Marseille,MRS,1182,135,310.85
Budapest,BUD,Sevilla,SVQ,2335,220,378.85
Budapest,BUD,Lyon,LYS,1101,125,299.4
Budapest,BUD,Las Palmas,LPA,3696,323,501.81
Budapest,BUD,Toulouse,TLS,1455,150,305.13
Paris,BVA,Dublin,DUB,728,100,336.93
Paris,BVA,Bucharest,OTP,1892,175,422.28
Paris,BVA,Rome,FCO,1160,130,387.18
Paris,BVA,Milan,BGY,709,90,381.93
Paris,BVA,Barcelona,BCN,906,105,347.29
Paris,BVA,Milan,MXP,654,90,375.81
Paris,BVA,Krakow,KRK,1272,130,369.47
Paris,BVA,Lisbon,LIS,1486,155,386.92
